1,1.0283e-08,1.0283e-08,1,1,0.26402,1,2.4783e-08,0.26402,1,1,1.0283e-08,1,0.26402,0.26402,1,2.4783e-08,0.26402,1,1,1,1,2.4783e-08,4.0409e-09
2.4783e-08,1,1,1,1,0.26402,1,2.4783e-08,0.26402,0.26402,1.0283e-08,0.26402,1,0.26402,0.26402,1,2.9009e-09,1.0283e-08,4.0409e-09,2.4783e-08,0.26402,1,2.4783e-08,2.4783e-08
1,1,1.0283e-08,1,1,0.26402,1,1,1,1,1,0.26402,1,1,0.26402,1,0.26402,1,0.26402,1,1,1,2.4783e-08,1
6.0111e-09,6.0111e-09,2.4783e-08,1,1,4.0409e-09,1,1,1.0283e-08,1.0283e-08,1,1,1,4.0409e-09,0.26402,1,1,1,1,1.0283e-08,1.0283e-08,2.4783e-08,0.26402,1
6.0111e-09,2.4783e-08,1,1,2.4783e-08,4.0409e-09,1,1,1,0.26402,1,0.26402,1,1,0.26402,1.0283e-08,1,1.0283e-08,2.4783e-08,6.0111e-09,6.0111e-09,1,0.26402,1
1.0283e-08,0.26402,1.0283e-08,2.4783e-08,1,0.26402,1,1,6.0111e-09,1,0.26402,1.0283e-08,0.26402,2.9009e-09,1,1.0283e-08,1,1,0.26402,1.0283e-08,2.4783e-08,1.0283e-08,2.4783e-08,2.9009e-09
1,2.4783e-08,1,1,0.26402,1,2.4783e-08,0.26402,0.26402,1,1,1,1,2.4783e-08,2.4783e-08,1,1.0283e-08,2.4783e-08,1,2.4783e-08,1,1,1,0.26402
1,1.0283e-08,0.26402,1,1,1,2.4783e-08,4.0409e-09,0.26402,1,1,1,1,2.4783e-08,6.0111e-09,0.26402,2.4783e-08,1,1,1,1,0.26402,1,1
0.26402,0.26402,6.0111e-09,0.26402,1,1.0283e-08,1,4.0409e-09,2.4783e-08,1,1.0283e-08,1,0.26402,4.0409e-09,1.0283e-08,2.1527e-09,2.9009e-09,1,0.26402,2.4783e-08,0.26402,1.0283e-08,0.26402,2.4783e-08
1.0283e-08,0.26402,1,1,1,0.26402,1,1,1,1,1,0.26402,0.26402,2.4783e-08,6.0111e-09,1,2.4783e-08,1,2.4783e-08,1,1,2.4783e-08,1,1
